sentenceId,raw_text,aspectTerms
241,"As a blistering exercise in sustained tension, Warfare works. As a depiction of the toll war takes on the body and soul, well, it’s pretty good at that, too.","[{'term': 'Warfare', 'polarity': 'positive'}, {'term': 'tension', 'polarity': 'positive'}, {'term': 'war', 'polarity': 'negative'}]"
1680,Surprisingly very good adaption of the original video game. It’s give me chills…!,"[{'term': 'adaption', 'polarity': 'positive'}, {'term': 'video game', 'polarity': 'neutral'}, {'term': 'chills', 'polarity': 'positive'}]"
693,"Seeing this film was the absolute best decision, a movie who managed to be a comedy but also made me angry and even shed a tear especially in the end. One might think it's a story about Italy's past but seeing it you realize some of the problems there were back then are still very present. Paola Cortellesi made a work of art for her FIRST time in director's chair. Hope she get's the recognition she deserves!!","[{'term': 'film', 'polarity': 'positive'}, {'term': 'comedy', 'polarity': 'positive'}, {'term': 'emotional impact', 'polarity': 'positive'}, {'term': 'story', 'polarity': 'positive'}, {'term': 'contemporary relevance', 'polarity': 'neutral'}, {'term': 'Cortellesi', 'polarity': 'positive'}, {'term': 'directorial debut', 'polarity': 'positive'}]"
421,"For a film so clearly designed to be fun above all else, it ends up being a bizarre slog.","[{'term': 'film', 'polarity': 'neutral'}, {'term': 'slog', 'polarity': 'negative'}]"
1874,"O filme em si não lembra o jogo mas o terror em si é bem tenso o que lembra o jogo no máximo e as criaturas. Nota:9,6","[{'term': 'filme', 'polarity': 'neutral'}, {'term': 'jogo', 'polarity': 'neutral'}, {'term': 'terror', 'polarity': 'positive'}, {'term': 'criaturas', 'polarity': 'neutral'}, {'term': 'Nota', 'polarity': 'positive'}]"
826,"“Freaky Tales” will find its audience, I think, and will probably gain infamy in time with clips and GIFs of some of its better moments, though I don’t think it will ever be the cult film it so clearly wishes it were.","[{'term': 'Freaky Tales', 'polarity': 'positive'}, {'term': 'audience', 'polarity': 'positive'}, {'term': 'cult film status', 'polarity': 'neutral'}]"
366,"Bong Joon-ho’s Mickey 17 is a batshit, crazy film, the type of madness that unapologetically celebrates the weird, absurd and chaotic swings of this sci-fi/comedy caper, and truth be told, we wouldn’t expect anything less from the award-winning director.","[{'term': 'Bong Joon-ho', 'polarity': 'positive'}, {'term': 'Mickey 17', 'polarity': 'positive'}, {'term': 'film', 'polarity': 'positive'}, {'term': 'madness', 'polarity': 'positive'}, {'term': 'sci-fi/comedy caper', 'polarity': 'positive'}, {'term': 'director', 'polarity': 'positive'}]"
1032,Worst movie I've seen in a long time. Needlessly gory and violent. Went to see it because Tom Hanks was in it. Hanks appears for less than 5 minutes. Don't waste your money,"[{'term': 'movie', 'polarity': 'negative'}, {'term': 'Tom Hanks', 'polarity': 'negative'}]"
1837,Definitely scared me,[]
589,A fascinating viewing experience – filled with good sequences and even better acting.,"[{'term': 'viewing experience', 'polarity': 'positive'}, {'term': 'sequences', 'polarity': 'positive'}, {'term': 'acting', 'polarity': 'positive'}]"
737,"It is a compelling, thoughtful and unusual feature that takes strong leaps in its methods of storytelling and presentation, and in doing so sets up Nyoni as a serious filmic voice to pay attention to.","[{'term': 'film', 'polarity': 'positive'}, {'term': 'storytelling', 'polarity': 'positive'}, {'term': 'presentation', 'polarity': 'positive'}, {'term': 'Nyoni', 'polarity': 'positive'}]"
1843,"It's not exactly the game and that's good because the game already exist. In fact it's a translation of it. In the end is a good film, a good adaptation and you would enjoy it.","[{'term': 'game', 'polarity': 'neutral'}, {'term': 'translation', 'polarity': 'positive'}, {'term': 'end', 'polarity': 'neutral'}, {'term': 'film', 'polarity': 'positive'}, {'term': 'adaptation', 'polarity': 'positive'}]"
946,Freaky Tales is a love letter to Oakland. Super fun movie!,"[{'term': 'Freaky Tales', 'polarity': 'positive'}, {'term': 'Oakland', 'polarity': 'positive'}, {'term': 'movie', 'polarity': 'positive'}]"
72,It would be unfair to expect Bong to make another Parasite. He hasn’t. Neither is his new movie a disaster. It is passable.,"[{'term': 'Bong', 'polarity': 'neutral'}, {'term': 'Parasite', 'polarity': 'neutral'}, {'term': 'new movie', 'polarity': 'neutral'}]"
1658,"I loved this movie - it doesn't follow the plot of game it's named after, but it does make nods to the game's story and mechanics that I enjoyed as a fan of the original Until Dawn, The Dark Pictures Anthology, and The Quarry. Even if you're not a fan of the game, though, it's still a fun slasher-esque flick with great characters, well-executed practical effects, and David F. Sandburg's characteristic humor.","[{'term': 'movie', 'polarity': 'positive'}, {'term': 'plot', 'polarity': 'neutral'}, {'term': 'game', 'polarity': 'neutral'}, {'term': 'story', 'polarity': 'positive'}, {'term': 'mechanics', 'polarity': 'positive'}, {'term': 'fan', 'polarity': 'neutral'}, {'term': 'Until Dawn', 'polarity': 'neutral'}, {'term': 'The Dark Pictures Anthology', 'polarity': 'neutral'}, {'term': 'The Quarry', 'polarity': 'neutral'}, {'term': 'slasher-esque flick', 'polarity': 'positive'}, {'term': 'characters', 'polarity': 'positive'}, {'term': 'practical effects', 'polarity': 'positive'}, {'term': 'David F. Sandburg', 'polarity': 'positive'}, {'term': 'humor', 'polarity': 'positive'}]"
260,"This is an unconventional picture, but it is still a crowd pleaser. Mickey is a little goofy, but likeable, giving Pattinson the opportunity to explore personality traits audiences haven’t seen him play on screen before.","[{'term': 'picture', 'polarity': 'positive'}, {'term': 'Mickey', 'polarity': 'positive'}, {'term': 'Pattinson', 'polarity': 'positive'}, {'term': 'personality traits', 'polarity': 'neutral'}, {'term': 'audiences', 'polarity': 'neutral'}]"
52,"Mickey 17, Bong Joon-ho’s hotly anticipated follow-up to Parasite, sits at the lower end of the filmmaker’s oeuvre, but is still an entertaining, crazy rollick through space.","[{'term': 'Mickey 17', 'polarity': 'positive'}, {'term': 'Bong Joon-ho', 'polarity': 'neutral'}, {'term': 'Parasite', 'polarity': 'neutral'}]"
199,"A Nice Indian Boy is filled with enough novel truth to transcend its predictable elements, leaving viewers with a film that feels like a genuine love story, instead of an idealistic imitation.","[{'term': 'A Nice Indian Boy', 'polarity': 'neutral'}, {'term': 'truth', 'polarity': 'positive'}, {'term': 'elements', 'polarity': 'negative'}, {'term': 'viewers', 'polarity': 'neutral'}, {'term': 'film', 'polarity': 'positive'}, {'term': 'love story', 'polarity': 'positive'}, {'term': 'imitation', 'polarity': 'negative'}]"
